address,coordinate
Tepeüstü Mahallesi/ALEMDAĞ CD.,"41.019199, 29.131475"
Tepeüstü Mahallesi/DOĞANEVLER CD.,"41.013484, 29.137638"
Tepeüstü Mahallesi/ESKİ KADIKÖY YOLU CD.,"41.017056, 29.132104"
Tepeüstü Mahallesi/KAŞGARLI MAHMUT CD.,"41.019941, 29.127056"
Tepeüstü Mahallesi/POYRAZ CD.,"41.019383, 29.127792"
Tepeüstü Mahallesi/TAVUKÇUYOLU CD.,"41.009980, 29.138913"
Tepeüstü Mahallesi/30 AĞUSTOS SK.,"41.018288, 29.131430"
Tepeüstü Mahallesi/AZİM SK.,"41.015253, 29.137180"
Tepeüstü Mahallesi/BEGONYA SK.,"41.014151, 29.136156"
Tepeüstü Mahallesi/BİZİM SK.,"41.019437, 29.127352"
Tepeüstü Mahallesi/ÇAYIRBAŞI SK.,"41.015988, 29.136551"
Tepeüstü Mahallesi/ÇEŞME SK.,"41.015757, 29.134206"
Tepeüstü Mahallesi/DAMPSAN SK.,"41.015035, 29.135590"
Tepeüstü Mahallesi/DİKİLİAĞAÇ SK.,"41.014634, 29.131987"
Tepeüstü Mahallesi/DUA SK.,"41.018206, 29.128466"
Tepeüstü Mahallesi/EDAGÜL SK.,"41.019145, 29.129697"
Tepeüstü Mahallesi/ERDEM SK.,"41.016872, 29.132922"
Tepeüstü Mahallesi/ESENKÖŞE SK.,"41.018703, 29.130236"
Tepeüstü Mahallesi/FATİH SK.,"41.015974, 29.133865"
Tepeüstü Mahallesi/GEZEN SK.,"41.019512, 29.129598"
Tepeüstü Mahallesi/GÜNAŞIK SK.,"41.018145, 29.129742"
Tepeüstü Mahallesi/GÜVENÇ SK.,"41.019090, 29.129014"
Tepeüstü Mahallesi/HACI BAYRAM SK.,"41.015750, 29.137413"
Tepeüstü Mahallesi/HAYIRLI SK.,"41.015641, 29.131098"
Tepeüstü Mahallesi/HAYRAN SK.,"41.014287, 29.136488"
Tepeüstü Mahallesi/HÜRMET SK.,"41.015614, 29.134664"
Tepeüstü Mahallesi/İHRAM SK.,"41.019329, 29.128888"
Tepeüstü Mahallesi/İNANÇ SK.,"41.018798, 29.127451"
Tepeüstü Mahallesi/İSTİKBAL SK.,"41.013899, 29.136200"
Tepeüstü Mahallesi/KADİM SK.,"41.018927, 29.131260"
Tepeüstü Mahallesi/KAFİYE SK.,"41.015757, 29.134206"
Tepeüstü Mahallesi/KANDİL SK.,"41.019859, 29.127523"
Tepeüstü Mahallesi/LİDER SK.,"41.017873, 29.128987"
Tepeüstü Mahallesi/MANİDAR SK.,"41.016267, 29.137647"
Tepeüstü Mahallesi/MEMLEKET SK.,"41.017900, 29.131386"
Tepeüstü Mahallesi/MİLLİ MÜCADELE SK.,"41.017281, 29.131511"
Tepeüstü Mahallesi/NAKKAŞ SK.,"41.014314, 29.132302"
Tepeüstü Mahallesi/NAZENİN SK.,"41.013994, 29.136668"
Tepeüstü Mahallesi/ÖNAL SK.,"41.013838, 29.137162"
Tepeüstü Mahallesi/ÖRNEK SK.,"41.015933, 29.133344"
Tepeüstü Mahallesi/ÖZKANCA SK.,"41.013048, 29.135922"
Tepeüstü Mahallesi/ÖZTÜRK SK.,"41.015464, 29.135626"
Tepeüstü Mahallesi/PINARBAŞI SK.,"41.015947, 29.132778"
Tepeüstü Mahallesi/PINARLI SK.,"41.017478, 29.131233"
Tepeüstü Mahallesi/RESUL SK.,"41.019261, 29.130622"
Tepeüstü Mahallesi/SEDA SK.,"41.014314, 29.135688"
Tepeüstü Mahallesi/TARİH SK.,"41.017784, 29.129265"
Tepeüstü Mahallesi/TEPEÜSTÜ ÖZGÜR SK.,"41.019240, 29.128295"
Tepeüstü Mahallesi/ULUDERE SK.,"41.017240, 29.129445"
Tepeüstü Mahallesi/YALIKENT SK.,"41.018961, 29.127154"
Tepeüstü Mahallesi/YENİLİK SK.,"41.015546, 29.135158"
Tepeüstü Mahallesi/ZİRVE SK.,"41.017553, 29.129715"
Reşadiye Mahallesi/SULTAN REŞAT CD.,"41.078140, 29.257419"
Reşadiye Mahallesi/ŞEHİT MURAT DEMİR CD.,"41.081716, 29.264965"
Reşadiye Mahallesi/ALİ PAŞA SK.,"41.079717, 29.265432"
Reşadiye Mahallesi/AVŞA ÇK. SK.,"41.073083, 29.253422"
Reşadiye Mahallesi/BESTEKAR ÇK. SK.,"41.078066, 29.247259"
Reşadiye Mahallesi/BÖĞÜRTLEN SK.,"41.074911, 29.256826"
Reşadiye Mahallesi/CANFEDA SK.,"41.076135, 29.246828"
Reşadiye Mahallesi/CUMHUR SK.,"41.081260, 29.262764"
Reşadiye Mahallesi/ÇAĞLA SK.,"41.085549, 29.266753"
Reşadiye Mahallesi/ÇIRAK ÇK. SK.,"41.078705, 29.248813"
Reşadiye Mahallesi/ÇİFTPINAR SK.,"41.083843, 29.265630"
Reşadiye Mahallesi/ÇİMEN SK., "41.080270, 29.248807"
Reşadiye Mahallesi/ÇİMENLİK SK.,"41.081546, 29.249253"
Reşadiye Mahallesi/DAĞSU ÇK. SK.,"41.083286, 29.252182"
Reşadiye Mahallesi/DAMLA SK.,"41.077270, 29.264327"
Reşadiye Mahallesi/DEFNE SK.,"41.078480, 29.252604"
Reşadiye Mahallesi/DUMANLI VADİ SK.,"41.076149, 29.264462"
Reşadiye Mahallesi/EFLATUN SK.,"41.078535, 29.255694"
Reşadiye Mahallesi/EMEL SK.,"41.067583, 29.243046"
Reşadiye Mahallesi/ENİS SK.,"41.083850, 29.250143"
Reşadiye Mahallesi/GÜLVEREN SK.,"41.078168, 29.255057"
Reşadiye Mahallesi/GÜNEŞ SK.,"41.077012, 29.246891"
Reşadiye Mahallesi/GÜNYÜZÜ SK.,"41.074130, 29.259297"
Reşadiye Mahallesi/GÜZİDE SK.,"41.066162, 29.247870"
Reşadiye Mahallesi/HACI PINAR SK.,"41.077345, 29.253808"
Reşadiye Mahallesi/HİSAR SK.,"41.077501, 29.264669"
Reşadiye Mahallesi/HUZUR SK.,"41.069242, 29.249451"
Reşadiye Mahallesi/HÜRMET SK.,"41.072185, 29.247097"
Reşadiye Mahallesi/İHSAN ÇK. SK.,"41.070071, 29.244995"
Reşadiye Mahallesi/KESTANELİK SK.,"41.067848, 29.241753"
Reşadiye Mahallesi/KİRAZ SK.,"41.079901, 29.264794"
Reşadiye Mahallesi/KOCAGÖZ KUYU SK.,"41.070574, 29.247466"
Reşadiye Mahallesi/KÖSEPINAR SK.,"41.070248, 29.254104"
Reşadiye Mahallesi/MANDIRA SK. SK.,"41.082912, 29.269735"
Reşadiye Mahallesi/MUKADDES SK.,"41.069568, 29.244465"
Reşadiye Mahallesi/NUR SK.,"41.080485, 29.258452"
Reşadiye Mahallesi/PAPELİN SK.,"41.068922, 29.243387"
Reşadiye Mahallesi/PLATİN ÇK. SK.,"41.072994, 29.252398"
Reşadiye Mahallesi/SAFRAN ÇK. SK.,"41.070472, 29.255640"
Reşadiye Mahallesi/SEVİM ÇK. SK.,"41.084550, 29.251472"
Reşadiye Mahallesi/ŞEHİT MURAT SK.,"41.076189, 29.260150"
Reşadiye Mahallesi/ŞİFA SK.,"41.074578, 29.248041"
Reşadiye Mahallesi/ŞİMAL ÇK. SK.,"41.072852, 29.246424"
Reşadiye Mahallesi/UZUN ÇK. SK.,"41.081274, 29.256260"
Reşadiye Mahallesi/YADİGAR SK.,"41.066305, 29.248095"
Reşadiye Mahallesi/YAYLA SK.,"41.069541, 29.243405"
Reşadiye Mahallesi/YEŞİLAY ÇK. SK.,"41.087065, 29.251966"
Reşadiye Mahallesi/YEŞİLVADİ SK.,"41.077651, 29.248598"
Reşadiye Mahallesi/ZEMZEM SK.,"41.082797, 29.250134"
Reşadiye Mahallesi/ZERDE ÇK. SK.,"41.083843, 29.267507"
Reşadiye Mahallesi/ZÜLAL SK.,"41.068236, 29.246424"
